gene	transcript	shNS_R1	shNS_R2	shNS_R3	shRUNX1_R1	shRUNX1_R2	shRUNX1_R3
GUCY2GP	NR_028134	0.00	0.00	0.00	0.00	0.00	0.00
IQUB	NM_001282855,NM_178827,NR_104244,NR_104245	6.09	4.12	2.00	8.00	4.00	2.00
RUVBL1	NM_003707	343.00	543.00	264.00	300.00	590.00	473.00
EVX1	NM_001989	0.00	0.00	0.00	0.00	0.00	0.00
RPS3A	NM_001006,NM_001267699	8045.00	10952.00	4640.00	10137.00	12767.00	11338.00
PCMTD1	NM_001286782,NM_001286783,NM_052937	539.00	758.00	370.00	444.00	262.00	226.00
OR2H1	NM_030883	0.00	0.00	0.00	0.00	0.00	0.00
MIR6075	NR_106723	0.00	0.00	0.00	0.00	0.00	0.00
TTC39A-AS1	NR_123731	7.00	17.00	6.00	11.00	11.00	12.00
LOC442028	NR_037597	0.00	0.00	1.00	0.00	1.00	1.00
TACC2	NM_001291876,NM_001291877,NM_001291878,NM_001291879,NM_006997,NM_206860,NM_206861,NM_206862	415.00	674.00	319.00	315.00	258.00	244.00
STOX2	NM_020225	16.00	38.00	20.00	30.00	31.00	33.00
TUSC8	NR_104174	0.00	0.00	0.00	0.00	0.00	0.00
ZAN	NM_003386,NM_173059,NR_111917,NR_111918,NR_111919	0.00	0.00	0.00	0.00	0.00	1.00
RGPD2	NM_001078170,NM_001078170_chr2:87140934_87239861	43.59	43.68	19.12	19.01	38.53	31.43
SAFB	NM_001201338,NM_001201339,NM_001201340,NM_002967,NR_037699	529.97	776.87	320.98	468.62	540.91	510.16
SFRP2	NM_003013	0.00	0.00	0.00	0.00	0.00	0.00
MOB1A	NM_018221	724.00	1039.00	429.00	892.00	793.00	727.00
SRGN	NM_002727,NR_036430	0.00	0.00	0.00	1.00	0.00	0.00
GTF2IP1	NR_002206_chr7:74601103_74867641	514.39	1195.53	440.18	1149.76	816.75	675.34
ATP5O	NM_001697	497.00	728.00	298.00	447.00	510.00	460.00
CYSRT1	NM_199001	47.00	58.00	33.00	20.00	20.00	16.00
LRIG1	NM_015541	521.75	891.00	370.12	491.88	414.32	394.00
MIR642A	NR_030372	0.00	0.00	0.00	0.00	0.00	0.00
TEX9	NM_001286449,NM_198524	24.00	22.00	16.00	29.00	16.00	22.00
NUDT4	NM_001301022,NM_001301023,NM_001301024,NM_019094,NM_199040	686.00	922.00	394.00	805.00	635.00	540.00
SPNS2	NM_001124758	105.55	153.56	81.65	94.08	106.41	84.37
PRH1	NM_001291314,NM_001291315	17.25	20.13	9.15	17.88	17.00	8.27
DR1	NM_001938	234.00	335.00	166.00	246.00	315.00	277.00
SLC35D2	NM_001286990,NM_007001,NR_104627	130.00	231.00	97.00	178.00	162.00	164.00
MIR4695	NR_039844	0.00	0.00	0.00	0.00	0.00	0.00
SEPT7-AS1	NR_120511,NR_120512	2.00	1.00	0.00	1.00	3.00	1.00
MIR4794	NR_039957	0.00	0.00	0.00	0.00	0.00	0.00
VTN	NM_000638	6.00	8.00	3.00	12.00	3.00	4.00
SGOL1	NM_001012409,NM_001012410,NM_001012411,NM_001012412,NM_001012413,NM_001199251,NM_001199252,NM_001199253,NM_001199254,NM_001199255,NM_001199256,NM_001199257,NM_138484	49.07	68.00	33.00	153.00	237.20	216.00
FSHR	NM_000145,NM_181446	0.00	0.00	0.00	0.00	0.00	0.00
EBNA1BP2	NM_001159936,NM_006824	347.00	515.00	231.00	363.00	539.00	466.00
KRT36	NM_003771	0.00	1.00	0.00	0.00	0.00	0.00
MIR920	NR_030625	0.00	0.00	0.00	0.00	0.00	0.00
MIR1245B	NR_039947	0.00	0.00	0.00	0.00	0.00	0.00
MYCN	NM_001293228,NM_001293231,NM_001293233	2.00	3.00	0.00	15.00	16.00	21.00
DMRTC1B	NM_001080851,NM_001080851_chrX:72091858_72095622	1.00	3.00	1.00	3.00	1.00	1.00
NKAIN2	NM_001040214,NM_001300737,NM_001300738,NM_153355	1.00	7.00	2.00	9.00	0.00	3.00
EXOC6B	NM_015189	202.00	253.00	136.00	220.00	235.00	236.00
JUP	NM_002230,NM_021991	1611.00	2710.00	1346.00	2782.00	3864.00	3644.00
ASH1L-AS1	NR_027023	14.32	36.88	10.22	17.87	31.73	26.30
ARVCF	NM_001670	69.00	123.00	46.00	88.00	94.00	56.00
NHP2L1	NM_001003796,NM_005008	371.00	495.00	247.00	397.00	492.00	444.00
ZMIZ2	NM_001300959,NM_031449,NM_174929	148.00	290.00	127.00	177.00	286.00	240.00
LOC101927476	NR_110386	0.00	2.00	1.00	0.00	1.00	0.00
DLC1	NM_001164271,NM_006094,NM_024767,NM_182643	372.00	608.00	244.00	410.00	552.00	485.00
FAM159A	NM_001042693	0.00	0.00	0.00	0.00	0.00	0.00
MED26	NM_004831	133.00	232.00	100.00	124.00	184.00	145.00
LOC101928269	NR_110418	0.00	0.00	0.00	0.00	0.00	0.00
LOC101928700	NR_110829	0.00	0.00	0.00	0.00	0.00	0.00
USE1	NM_018467	39.00	52.00	19.00	36.00	49.00	33.00
PRKCZ	NM_001033581,NM_001033582,NM_001242874,NM_002744	260.14	404.52	187.48	280.97	308.75	273.52
PBRM1	NM_018313	537.00	749.00	395.00	564.00	513.00	501.00
TREM1	NM_001242589,NM_001242590,NM_018643	0.00	0.00	0.00	0.00	0.00	0.00
SYN1	NM_006950,NM_133499	2.00	7.00	0.00	3.00	7.00	2.00
SNORA68	NR_000012	1854.00	2383.00	894.00	1483.00	492.00	521.00
MYL10	NM_138403	0.00	0.00	0.00	0.00	0.00	0.00
ZNF493	NM_001076678,NM_145326,NM_175910	42.66	62.81	38.52	69.19	77.37	85.00
FAM19A3	NM_001004440,NM_182759	0.00	0.00	0.00	0.00	0.00	0.00
INCENP	NM_001040694,NM_020238	135.00	212.00	90.00	327.00	600.00	531.00
CCZ1B	NM_198097	717.26	1003.67	436.35	679.15	764.12	627.28
MIR518C	NR_030199	0.00	0.00	0.00	0.00	0.00	0.00
SNORD10	NR_002604	1130.00	1220.00	475.00	1639.00	654.00	665.00
ING1	NM_001267728,NM_005537,NM_198217,NM_198218,NM_198219	86.00	124.00	65.00	78.00	85.00	92.00
NTM	NM_001048209,NM_001144058,NM_001144059,NM_016522	1.00	2.00	0.00	1.00	0.00	0.00
LOC101928417	NR_110937	0.00	0.00	0.00	0.00	0.00	0.00
LOC101593348	NR_103497	4.01	8.00	3.00	0.00	2.00	3.01
ZRANB2-AS2	NR_046217	1.00	4.00	1.00	1.00	1.00	0.00
CHRNB4	NM_000750,NM_001256567	0.00	1.00	1.00	6.00	0.00	2.00
LRRC75B	NM_207644	8.00	21.00	5.00	15.00	10.00	10.00
KLHL20	NM_014458	181.00	260.00	131.00	170.00	178.00	175.00
TRIM49D2P	NM_001105522,NM_001105522_chr11:89657231_89666229	1.00	0.00	0.00	0.00	0.00	0.00
MRPL28	NM_006428	258.00	417.00	176.00	305.00	464.00	451.00
OR5AN1	NM_001004729	0.00	0.00	0.00	0.00	0.00	0.00
SSPN	NM_001135823,NM_005086	19.00	17.00	8.00	24.00	22.00	6.00
DNTTIP2	NM_014597	364.00	462.00	225.00	255.00	218.00	198.00
ALKBH5	NM_017758	1128.00	1759.00	842.00	1344.00	1361.00	1176.00
PKIA	NM_006823,NM_181839	102.00	159.00	67.00	117.00	109.00	88.00
SMIM15	NM_001048249	737.94	1138.00	526.00	587.00	541.00	524.00
ARL6IP4	NM_001002251,NM_001002252,NM_001278378,NM_001278379,NM_001278380,NM_016638,NM_018694,NR_103512	569.00	811.00	350.00	632.00	656.00	596.00
MIR4789	NR_039952	0.00	0.00	0.00	0.00	0.00	0.00
VCAN	NM_001126336,NM_001164097,NM_001164098,NM_004385	5.00	11.00	2.00	30.00	40.00	37.00
MIR4266	NR_036224	0.00	0.00	0.00	0.00	0.00	0.00
BCL7C	NM_001286526,NM_004765	150.00	194.00	77.00	158.00	222.00	229.00
SLC2A4RG	NM_020062	479.55	723.15	315.65	944.70	1041.35	962.99
CNBD2	NM_001207076,NM_080834	0.00	0.00	0.00	0.00	1.00	0.00
MYH7	NM_000257	0.00	0.00	0.00	0.00	0.00	0.00
CRCP	NM_001040647,NM_001040648,NM_001142414,NM_014478,NR_024548	510.00	758.00	351.00	641.00	721.00	660.00
TM9SF1	NM_001014842,NM_001289006,NM_006405	774.00	1180.00	518.00	768.00	862.00	795.00
NMRK1	NM_001127603,NM_017881,NR_023352	117.00	137.00	74.00	81.00	56.00	73.00
TNFAIP6	NM_007115	0.00	0.00	0.00	0.00	0.00	0.00
TPI1	NM_001159287,NM_001258026	1660.96	2558.65	1110.93	2835.94	4454.70	4112.44
MIR563	NR_030289	0.00	0.00	0.00	0.00	0.00	0.00
GRXCR1	NM_001080476	0.00	0.00	0.00	0.00	0.00	0.00
CNFN	NM_032488	6.00	6.00	2.00	8.00	7.00	5.00
GJA10	NM_032602	0.00	0.00	0.00	0.00	0.00	0.00
LINC01142	NR_026957	0.00	0.00	0.00	0.00	0.00	0.00
ARHGAP44	NM_014859	84.00	100.00	62.00	85.00	122.00	100.00
SMCO4	NM_020179	10.00	4.00	2.00	2.00	12.00	7.00
OR1L1	NM_001005236	0.00	0.00	0.00	0.00	0.00	0.00
CDC42BPA	NM_003607,NM_014826	552.00	830.00	362.00	553.00	524.00	476.00
MIR4697HG	NR_024344	7.00	9.00	4.00	2.00	6.00	4.00
MIR5007	NR_049804	0.00	0.00	0.00	0.00	0.00	0.00
DNM3OS	NR_038397,NR_103486	3.00	3.00	0.00	0.00	2.00	1.00
FAM216B	NM_182508	0.00	0.00	0.00	0.00	0.00	0.00
KIF13B	NM_015254	83.00	138.00	76.00	170.00	240.00	202.00
CD320	NM_001165895,NM_016579	93.00	145.00	55.00	55.00	104.00	89.00
GIMAP6	NM_001244071,NM_001244072,NM_024711	0.00	0.00	0.00	0.00	0.00	0.00
SERP2	NM_001010897	0.00	1.00	0.00	0.00	0.00	0.00
LINC01013	NR_038981	0.00	0.00	0.00	0.00	0.00	0.00
OR2T27	NM_001001824	0.00	0.00	0.00	0.00	0.00	0.00
UBE2O	NM_022066	465.00	684.00	324.00	307.00	489.00	424.00
LOC100506790	NR_104652	0.00	0.00	0.00	0.00	0.00	0.00
GEMIN5	NM_001252156,NM_015465	487.00	775.00	339.00	427.00	787.00	758.00
GBP6	NM_198460	1.00	0.00	1.00	0.00	0.00	0.00
LOC101929497	NR_120580	0.00	0.00	0.00	0.00	0.00	0.00
PALM3	NM_001145028	39.00	84.00	32.00	44.00	31.00	29.00
TM4SF5	NM_003963	0.00	0.00	0.00	0.00	0.00	0.00
MXD4	NM_006454	409.00	683.00	257.00	450.00	359.00	291.00
ARHGEF7	NM_001113511,NM_001113512,NM_001113513,NM_003899,NM_145735	247.00	380.00	174.00	232.00	291.00	255.00
SH3GLB1	NM_001206651,NM_001206652,NM_001206653,NM_016009	272.00	364.00	186.00	304.00	257.00	227.00
ZNF683	NM_001114759,NM_173574	0.00	0.00	0.00	0.00	0.00	0.00
ZFP1	NM_153688	415.00	580.00	261.00	322.00	302.00	248.00
PTGDR2	NM_004778	1.05	4.35	1.09	2.15	2.11	0.00
CD7	NM_006137	0.00	0.00	0.00	0.00	0.00	1.00
CRELD2	NM_001135101,NM_001284317,NM_001284318,NM_024324,NR_104295	81.00	155.00	52.00	119.00	173.00	137.00
LINC00028	NR_024358	0.00	0.00	0.00	0.00	0.00	0.00
MIR302F	NR_031684	0.00	0.00	0.00	0.00	0.00	0.00
IL10RB	NM_000628	186.00	281.00	132.00	155.00	203.00	163.00
C19orf68	NM_199341	25.00	18.00	9.00	14.00	27.00	19.00
CFB	NM_001710	1.00	9.00	2.00	5.00	4.00	5.00
FBXL22	NM_203373	9.00	15.00	5.00	10.00	11.00	7.00
LOC153684	NR_015447	52.00	42.00	31.00	26.00	39.00	32.00
C2orf81	NM_001145054	26.00	28.00	10.00	17.00	28.00	31.00
EBF1	NM_001290360,NM_024007,NM_182708	0.00	0.00	0.00	0.00	0.00	0.00
GPD1	NM_001257199,NM_005276	2.00	5.00	1.00	1.00	2.00	2.00
C7orf60	NM_152556	282.00	335.00	163.00	297.00	168.00	176.00
ZNF835	NM_001005850	0.00	0.00	0.00	0.00	0.00	0.00
TREM2	NM_001271821,NM_018965	0.00	0.00	2.00	1.00	0.00	0.00
PFDN6	NM_001185181,NM_001265595,NM_001265596,NM_014260	135.00	204.00	90.00	137.00	227.00	177.00
LINC00304	NR_024347	2.00	5.00	2.00	0.00	1.00	1.00
OR13H1	NM_001004486	2.00	0.00	0.00	0.00	2.00	0.00
SNX32	NM_152760	2.00	1.00	1.00	0.00	1.00	2.00
MIR1287	NR_031619	0.00	0.00	0.00	0.00	0.00	0.00
HNRNPL	NM_001005335,NM_001533	1579.00	2384.00	993.00	1900.00	2408.00	2238.00
ZEB2	NM_001171653,NM_014795,NR_033258	0.00	0.00	0.00	1.00	1.00	0.00
LOC388692	NR_111933	67.69	96.64	68.28	29.00	75.30	51.00
GART	NM_000819,NM_001136005,NM_001136006,NM_175085	433.00	666.00	302.00	429.00	724.00	716.00
BOLA3-AS1	NR_045634,NR_045636,NR_045637	7.00	12.00	2.00	6.00	11.00	8.00
IL1B	NM_000576	0.00	0.00	0.00	1.00	1.00	1.00
LOC101928775	NR_109805	1.00	2.00	0.00	1.00	1.00	0.00
IPCEF1	NM_001130699,NM_001130700,NM_015553	4.00	6.00	5.00	17.00	4.00	3.00
MIR532	NR_030241	0.00	0.00	0.00	0.00	0.00	0.00
ASB11	NM_001012428,NM_001201583,NM_080873	0.00	1.00	0.00	0.00	0.00	0.00
HAS3	NM_001199280,NM_005329,NM_138612	7.00	12.13	9.00	2.00	20.00	15.00
MIR3064	NR_039891	0.00	0.00	0.00	0.00	0.00	0.00
RPL27	NM_000988	2413.00	3306.00	1405.00	2253.00	2990.00	2699.00
TBC1D4	NM_001286658,NM_001286659,NM_014832	87.00	170.00	51.00	126.00	95.00	112.00
PEBP1	NM_002567	2010.00	3071.00	1325.00	2189.00	2504.00	2267.00
KHDRBS1	NM_001271878,NM_006559,NR_073498,NR_073499	767.00	1280.00	534.00	1514.00	1773.00	1586.00
KRTAP5-11	NM_001005405	0.00	0.00	0.00	0.00	0.00	0.00
GGCT	NM_001199815,NM_001199816,NM_001199817,NM_024051,NR_037669	377.00	531.00	227.00	498.00	574.00	513.00
CDCA2	NM_152562	66.00	83.00	39.00	167.00	308.00	277.00
LDB2	NM_001130834,NM_001290	3.00	12.00	5.00	2.00	8.00	8.00
BNIP1	NM_001205,NM_013978,NM_013979,NM_013980	115.00	175.00	77.00	71.00	128.00	104.00
PLIN3	NM_001164189,NM_001164194,NM_005817	207.00	341.00	149.00	384.00	466.00	432.00
SUGT1P1	NR_003667	3.00	13.00	5.00	3.00	6.00	6.00
POLR3C	NM_001303456,NM_006468	475.00	734.00	316.00	480.00	568.00	531.00
MIR4280	NR_036243	0.00	0.00	0.00	0.00	0.00	0.00
MIR4740	NR_039894	0.00	0.00	0.00	0.00	0.00	0.00
RDX	NM_001260492,NM_001260493,NM_001260494,NM_001260495,NM_001260496,NM_002906	832.00	1236.00	612.00	1670.00	2316.00	2025.00
ZNF235	NM_004234	25.00	62.00	26.00	43.00	45.00	46.00
DUSP4	NM_001394,NM_057158	449.00	685.00	287.00	912.00	779.00	764.00
GNAS	NM_000516,NM_001077488,NM_001077489,NM_001077490,NM_016592,NM_080426,NR_003259	7539.00	11696.00	5561.00	11978.00	16807.00	15758.00
SNORD45C	NR_003042	0.00	0.00	0.00	0.00	0.00	0.00
DLG3-AS1	NR_046586,NR_109801	2.00	4.00	0.00	1.00	1.00	1.00
SNORA2A	NR_002950	6.00	15.00	4.00	12.00	0.00	2.00
RNASE4	NM_001282192,NM_001282193,NM_002937,NM_194431	1.77	2.00	1.00	8.00	5.00	6.00
CEP83	NM_001042399,NM_016122	80.00	106.00	60.00	67.00	98.00	86.00
HLTF	NM_003071,NM_139048	969.00	1470.00	646.00	857.00	784.00	740.00
LDLR	NM_000527,NM_001195798,NM_001195799,NM_001195800,NM_001195803	895.45	1389.97	580.20	1718.39	1862.90	1713.68
TOR1AIP1	NM_001267578,NM_015602	771.00	1148.00	509.00	576.00	600.00	519.00
AGAP9	NM_001190810,NM_001190810_chr10:47191843_47213626	53.24	92.96	46.07	28.15	33.69	17.50
SIRPD	NM_178460	0.00	0.00	0.00	0.00	0.00	0.00
STK4-AS1	NR_038341	2.00	13.00	3.00	5.00	11.00	7.00
ZNF7	NM_001282795,NM_001282796,NM_001282797,NM_003416	304.00	505.00	202.00	238.00	286.00	256.00
DEXI	NM_014015	164.00	208.00	79.00	118.00	148.00	117.00
MAMDC2-AS1	NR_040076	1.00	1.00	1.00	0.00	0.00	1.00
CEMIP	NM_001293298,NM_001293304,NM_018689	53.00	99.00	34.00	88.00	38.00	38.00
FEM1B	NM_015322	1541.00	2260.00	1093.00	1354.00	1536.00	1283.00
LOC101927839	NR_110888	0.00	0.00	0.00	0.00	1.00	1.00
NCK1-AS1	NR_110175,NR_110176,NR_110177	9.00	11.00	5.00	14.00	22.00	26.00
TM2D1	NM_032027	160.00	243.00	121.00	94.00	75.00	67.00
CYP4F8	NM_007253	0.00	0.00	0.00	0.00	0.00	0.00
MCM8	NM_001281520,NM_001281521,NM_001281522,NM_032485,NM_182802	106.00	175.00	86.00	121.00	155.00	144.00
FBXO27	NM_178820	17.85	25.00	12.00	46.00	77.00	76.00
LOC101927272	NR_110908	0.00	0.00	0.00	0.00	0.00	0.00
PDP1	NM_001161779,NM_001161780,NM_001161781,NM_018444	376.00	545.00	228.00	279.00	217.00	209.00
OXNAD1	NM_138381	111.00	136.00	94.00	109.00	139.00	142.00
LINC00346	NR_027701	13.00	22.00	5.00	37.00	54.00	37.00
ANO7	NM_001001666,NM_001001891	13.00	20.00	12.00	15.00	18.00	13.00
GRM1	NM_001278064,NM_001278065,NM_001278066,NM_001278067	1.00	1.00	0.00	0.00	0.00	0.00
SBF2	NM_030962	291.62	410.56	204.75	278.22	217.52	223.77
FHIT	NM_001166243,NM_002012	12.00	10.00	5.00	6.00	6.00	4.00
LOC400794	NR_026744	0.00	0.00	0.00	0.00	0.00	0.00
LOC102724663	NR_120491	0.00	1.00	0.00	0.00	0.00	0.00
SNORD15A	NR_000005	18.00	15.00	6.00	34.00	9.00	12.00
PRKAR2B	NM_002736	57.00	99.00	50.00	79.00	127.00	101.00
USP17L20	NM_001256861_chr4:9269344_9270937	0.00	0.00	0.00	0.00	0.00	0.00
LCE2C	NM_178429	0.00	0.00	0.00	0.00	0.00	0.00
ALAS2	NM_000032,NM_001037967,NM_001037968	0.00	0.00	0.00	0.00	0.00	1.00
RHBDD1	NM_001167608,NM_032276	200.00	285.00	147.00	198.00	211.00	173.00
LIPA	NM_000235,NM_001127605,NM_001288979	626.00	869.00	388.00	463.00	573.00	522.00
NOTCH2	NM_001200001,NM_024408	1768.32	2763.24	1255.23	1548.26	2438.19	2198.64
PHLDB3	NM_198850	82.00	152.00	83.00	104.00	115.00	123.00
ARAF	NM_001256196,NM_001256197,NM_001654	398.00	626.00	283.00	385.00	402.00	391.00
SEMA4C	NM_017789	2383.00	3998.00	1754.00	1252.00	818.00	711.00
MGST1	NM_001260511,NM_001260512,NM_001267598,NM_020300,NM_145764,NM_145791,NM_145792,NR_048545,NR_048547	734.00	1001.00	519.00	732.00	722.00	687.00
C1orf131	NM_001300830,NM_152379	136.00	221.00	87.00	98.00	107.00	90.00
BCL2L11	NM_001204106,NM_001204107,NM_001204108,NM_001204109,NM_001204110,NM_001204111,NM_001204112,NM_001204113,NM_006538,NM_138621,NM_138622,NM_138623,NM_138624,NM_138625,NM_138626,NM_138627,NM_207002,NM_207003	450.00	677.00	349.00	443.00	455.00	438.00
SVIP	NM_148893	186.00	259.00	128.00	138.00	126.00	109.00
MIR325	NR_029905	0.00	0.00	0.00	0.00	0.00	0.00
HEMGN	NM_018437,NM_197978	0.00	0.00	0.00	0.00	0.00	0.00
TYK2	NM_003331	488.00	794.00	351.00	370.00	380.00	453.00
SPINT3	NM_006652	0.00	0.00	0.00	0.00	0.00	0.00
MIR3649	NR_037422	0.00	0.00	0.00	0.00	0.00	0.00
S100A7L2	NM_001045479	0.00	0.00	0.00	0.00	0.00	0.00
MIR4787	NR_039950	0.00	0.00	0.00	0.00	0.00	0.00
JUND	NM_001286968	719.00	1146.00	496.00	1565.00	1068.00	988.00
LOC101927081	NR_110041	0.00	0.00	0.00	2.00	0.00	0.00
PRKCA-AS1	NR_110822	0.00	0.00	1.00	0.00	3.00	1.00
OR5J2	NM_001005492	0.00	0.00	0.00	0.00	0.00	0.00
LINC00271	NR_026805	0.00	3.00	5.00	3.00	0.00	0.00
SRPK3	NM_001170760,NM_001170761,NM_014370	6.00	9.00	2.00	1.00	1.00	0.00
FBLL1	NR_024356	1.00	5.00	1.00	1.00	4.00	3.00
RAB15	NM_198686	411.00	641.00	346.00	406.00	486.00	421.00
MIR4262	NR_036226	0.00	0.00	0.00	0.00	0.00	0.00
EFCAB7	NM_032437	19.00	45.00	12.00	29.00	13.00	11.00
SNAR-A1	NR_004435,NR_004435_chr19:48421685_48421807	81.91	59.39	65.58	50.53	86.36	72.23
TMED7	NM_181836	1734.57	2460.40	1178.21	1164.39	944.22	837.89
COL6A1	NM_001848	9.00	14.00	4.00	11.00	32.00	32.00
VASH2	NM_001136474,NM_001136475,NM_001301056,NM_024749	12.00	13.00	6.00	11.00	16.00	16.00
BAZ1B	NM_032408	1064.00	1736.00	727.00	1349.00	1609.00	1495.00
IL17RB	NM_018725	115.00	192.00	83.00	146.00	56.00	52.00
CFHR1	NM_002113	0.00	0.00	0.00	0.00	0.00	0.00
ARHGAP31-AS1	NR_046748	0.00	0.00	1.00	0.00	0.00	0.00
PBDC1	NM_001300888,NM_016500	95.00	151.00	49.00	103.00	98.00	72.00
SMCHD1	NM_015295	570.00	959.00	390.00	618.00	654.00	586.00
SOX30	NM_007017,NM_178424	1.00	5.00	0.00	4.00	4.00	1.00
AP5Z1	NM_014855	449.00	772.96	351.00	339.00	292.93	261.00
ATP13A4	NM_032279	4.92	8.00	2.00	12.00	9.00	11.00
ABCC4	NM_001105515,NM_001301829,NM_001301830,NM_005845	54.00	77.00	44.00	68.00	113.00	102.00
C19orf67	NM_001277378	9.00	5.00	3.00	3.00	3.00	1.00
SURF2	NM_001278928,NM_017503	103.00	144.00	77.00	134.00	146.00	164.00
AGPAT2	NM_001012727,NM_006412	409.00	586.00	259.00	369.00	323.00	266.00
MIR4522	NR_039748	0.00	0.00	0.00	0.00	0.00	0.00
TIAF1	NM_004740	7.65	6.26	8.65	0.00	0.00	0.00
PTRH2	NM_016077	547.00	884.00	381.00	311.00	316.00	316.00
C2orf68	NM_001013649	246.00	429.00	199.00	321.00	354.00	286.00
SLAMF6	NM_001184714,NM_001184715,NM_001184716,NM_052931	0.00	0.00	0.00	0.00	0.00	0.00
MCC	NM_001085377,NM_002387	143.00	241.00	104.00	97.00	149.00	168.00
KLHDC4	NM_001184854,NM_001184856,NM_017566	149.00	212.00	90.00	207.00	255.00	239.00
EVX1-AS	NR_120507	0.00	0.00	0.00	0.00	0.00	0.00
PROSER2-AS1	NR_038222	1.00	2.00	1.00	1.00	4.00	4.00
KCNRG	NM_173605,NM_199464	2.28	18.28	1.81	3.26	11.94	10.48
GRINA	NM_000837,NM_001009184	904.00	1464.00	762.00	1226.00	1199.00	1079.00
SRSF3	NM_003017,NR_036610	1744.00	2783.00	1222.00	2126.00	2364.00	2110.00
KIF18B	NM_001264573,NM_001265577	20.00	39.03	28.00	89.01	150.00	159.00
RUSC2	NM_001135999,NM_014806,NR_052015	113.00	150.00	74.00	124.00	178.00	144.00
NFKB2	NM_001077494,NM_001261403,NM_001288724,NM_002502	185.00	264.00	114.00	118.00	171.00	162.00
CGN	NM_020770	395.00	679.00	264.00	298.00	462.00	465.00
LOC101927765	NR_125961,NR_125962	11.00	20.00	7.00	3.00	3.00	7.03
CFL1P1	NR_028492	1.00	0.00	0.00	0.00	0.00	1.00
WEE2	NM_001105558	2.00	0.00	0.00	1.00	1.00	0.00
