PeakID (cmd=annotatePeaks.pl reproducible_peaks_blacklist_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr9-74	chr9	124941093	124941254	+	1	NA	promoter-TSS (ENST00000373555.9)	protein_coding-promoter-TSS (ENST00000373555.9)	-90	ENST00000373555.9	ENSG00000136935	ENST00000605438			GOLGA1			protein_coding
chr17-68	chr17	75085494	75085793	+	1	NA	Intergenic	Intergenic	-2084	ENST00000580123.5	ENSG00000170190	ENST00000585293			SLC16A5			protein_coding
chr8-292	chr8	101493103	101493343	+	1	NA	promoter-TSS (ENST00000520268.1)	lncRNA-promoter-TSS (ENST00000520268.1)	465	ENST00000395927.1	ENSG00000083307	ENST00000521085			GRHL2			protein_coding
chr14-15	chr14	56579572	56579676	+	1	NA	promoter-TSS (ENST00000261556.11)	protein_coding-promoter-TSS (ENST00000261556.11)	4	ENST00000556422.5	ENSG00000070269	ENST00000554981			TMEM260			protein_coding
chr2-60	chr2	109499617	109499812	+	1	NA	intron (ENST00000309415.8, intron 9 of 9)	protein_coding-intron (ENST00000309415.8, intron 9 of 9)	-52822	ENST00000417974.1	ENSG00000237916	ENST00000417974			RPL37P12			processed_pseudogene
chr14-312	chr14	35122371	35122592	+	1	NA	promoter-TSS (ENST00000250377.11)	protein_coding-promoter-TSS (ENST00000250377.11)	-8	ENST00000557278.1	ENSG00000092020	ENST00000554265			PPP2R3C			protein_coding
chr7-570	chr7	150369146	150369427	+	1	NA	promoter-TSS (ENST00000486714.2)	protein_coding-promoter-TSS (ENST00000486714.2)	-94	ENST00000518462.1	ENSG00000214022	ENST00000518514			REPIN1			protein_coding
chr3-910	chr3	174440897	174441178	+	1	NA	promoter-TSS (ENST00000434257.1)	protein_coding-promoter-TSS (ENST00000434257.1)	50	ENST00000489729.5	ENSG00000177694	ENST00000489729			NAALADL2			protein_coding
chr11-266	chr11	30366208	30366384	+	1	NA	Intergenic	Intergenic	-1852	ENST00000488389.1	ENSG00000242353	ENST00000488389			RPL12P30			processed_pseudogene
chr2-77	chr2	96509422	96509695	+	1	NA	Intergenic	Intergenic	-1449	ENST00000435380.3	ENSG00000163121	ENST00000310865			NEURL3			protein_coding
chr19-305	chr19	32692117	32692348	+	1	NA	promoter-TSS (ENST00000592431.3)	lncRNA-promoter-TSS (ENST00000592431.3)	411	ENST00000397061.4	ENSG00000213965	ENST00000397061			NUDT19			protein_coding
chr16-28	chr16	28846161	28846446	+	1	NA	promoter-TSS (ENST00000313511.8)	protein_coding-promoter-TSS (ENST00000313511.8)	27	ENST00000565012.1	ENSG00000178952	ENST00000569217			TUFM			protein_coding
chr10-269	chr10	75262788	75263023	+	1	NA	intron (ENST00000666247.1, intron 2 of 3)	lncRNA-intron (ENST00000666247.1, intron 2 of 3)	6640	ENST00000449384.1	ENSG00000227271	ENST00000449384			RPL39P25			processed_pseudogene
chr11-208	chr11	63558624	63558766	+	1	NA	intron (ENST00000255695.2, intron 2 of 3)	protein_coding-intron (ENST00000255695.2, intron 2 of 3)	4684	ENST00000255695.2	ENSG00000133328	ENST00000255695			PLAAT2			protein_coding
chr3-58	chr3	149129545	149129747	+	1	NA	promoter-TSS (ENST00000296051.7)	protein_coding-promoter-TSS (ENST00000296051.7)	7	ENST00000494327.1	ENSG00000163755	ENST00000462030			HPS3			protein_coding
chr11-3	chr11	71481499	71481756	+	1	NA	TTS (ENST00000527227.1)	protein_coding-TTS (ENST00000527227.1)	816	ENST00000531236.1	ENSG00000172890	ENST00000525593			NADSYN1			protein_coding
chr6-162	chr6	17706816	17706933	+	1	NA	promoter-TSS (ENST00000262077.3)	protein_coding-promoter-TSS (ENST00000262077.3)	-40	ENST00000537253.5	ENSG00000124789	ENST00000537253			NUP153			protein_coding
chr5-97	chr5	1801542	1801762	+	1	NA	promoter-TSS (ENST00000505818.1)	protein_coding-promoter-TSS (ENST00000505818.1)	231	ENST00000510329.1	ENSG00000145494	ENST00000469176			NDUFS6			protein_coding
chr19-156	chr19	2525043	2525301	+	1	NA	intron (ENST00000587867.1, intron 3 of 5)	protein_coding-intron (ENST00000382159.8, intron 3 of 4)	-12940	ENST00000590044.1	ENSG00000105694	ENST00000590044			ELOCP28			processed_pseudogene
chr15-170	chr15	85794785	85795074	+	1	NA	promoter-TSS (ENST00000337975.6)	protein_coding-promoter-TSS (ENST00000337975.6)	-4	ENST00000337975.6	ENSG00000183655	ENST00000536947			KLHL25			protein_coding
chr16-61	chr16	73015662	73015960	+	1	NA	exon (ENST00000624910.1, exon 1 of 1)	TEC-exon (ENST00000624910.1, exon 1 of 1)	205	ENST00000624910.1	ENSG00000279591	ENST00000624910			ENSG00000279591			TEC
chr14-31	chr14	65356584	65356821	+	1	NA	Intergenic	Intergenic	-21519	ENST00000584635.1	ENSG00000266740	ENST00000584635			MIR4708			miRNA
chr6-2	chr6	30742855	30743126	+	1	NA	promoter-TSS (ENST00000376389.8)	protein_coding-promoter-TSS (ENST00000376389.8)	61	ENST00000607333.2	ENSG00000272273	ENST00000607333			IER3-AS1			lncRNA
chr15-394	chr15	79923907	79924072	+	1	NA	promoter-TSS (ENST00000479961.1)	protein_coding-promoter-TSS (ENST00000479961.1)	-235	ENST00000494999.1	ENSG00000259332	ENST00000615374			ST20-MTHFS			protein_coding
chr2-296	chr2	72916055	72916337	+	1	NA	promoter-TSS (ENST00000394111.6)	protein_coding-promoter-TSS (ENST00000394111.6)	-64	ENST00000394111.6	ENSG00000135638	ENST00000616281			EMX1			protein_coding
chr9-252	chr9	93133419	93133431	+	1	NA	intron (ENST00000461162.5, intron 1 of 4)	protein_coding-intron (ENST00000375446.5, intron 1 of 3)	794	ENST00000461162.5	ENSG00000131669	ENST00000470314			NINJ1			protein_coding
chr14-152	chr14	49620664	49620943	+	1	NA	promoter-TSS (ENST00000298289.7)	protein_coding-promoter-TSS (ENST00000298289.7)	4	ENST00000305386.4	ENSG00000168282	ENST00000305386			MGAT2			protein_coding
chr2-577	chr2	217247537	217247776	+	1	NA	intron (ENST00000695940.1, intron 2 of 2)	lncRNA-intron (ENST00000695932.1, intron 3 of 11)	-3900	ENST00000516173.1	ENSG00000251982	ENST00000516173			RN7SKP43			misc_RNA
chr5-174	chr5	81751358	81751601	+	1	NA	promoter-TSS (ENST00000320672.9)	protein_coding-promoter-TSS (ENST00000320672.9)	-229	ENST00000514493.5	ENSG00000145687	ENST00000505980			SSBP2			protein_coding
chr17-735	chr17	61221642	61221827	+	1	NA	intron (ENST00000587294.5, intron 1 of 4)	protein_coding-intron (ENST00000390652.9, intron 23 of 24)	-23482	ENST00000592702.5	ENSG00000141376	ENST00000626960			BCAS3			protein_coding
chr1-21	chr1	3708928	3709211	+	1	NA	TTS (ENST00000604194.1)	protein_coding-TTS (ENST00000604194.1)	5229	ENST00000416554.1	ENSG00000235131	ENST00000416554			TP73-AS2			lncRNA
chr21-3	chr21	39313667	39313878	+	1	NA	promoter-TSS (ENST00000333229.6)	protein_coding-promoter-TSS (ENST00000333229.6)	47	ENST00000333229.6	ENSG00000185658	ENST00000342449			BRWD1			protein_coding
chr20-145	chr20	57270284	57270533	+	1	NA	intron (ENST00000412321.1, intron 1 of 1)	lncRNA-intron (ENST00000412321.1, intron 1 of 1)	3606	ENST00000426580.1	ENSG00000226308	ENST00000426580			ENSG00000226308			lncRNA
chr9-100	chr9	95092382	95092668	+	1	NA	intron (ENST00000710812.1, intron 4 of 4)	protein_coding-intron (ENST00000710812.1, intron 4 of 4)	-6431	ENST00000384885.4	ENSG00000207617	ENST00000384885			MIR3074			miRNA
chr1-77	chr1	180502737	180502983	+	1	NA	promoter-TSS (ENST00000367595.4)	protein_coding-promoter-TSS (ENST00000367595.4)	94	ENST00000645415.1	ENSG00000230124	ENST00000475338			ACBD6			protein_coding
chr11-219	chr11	67062566	67062585	+	1	NA	intron (ENST00000532559.1, intron 1 of 2)	protein_coding-intron (ENST00000308831.7, intron 1 of 4)	5686	ENST00000532559.1	ENSG00000173156	ENST00000532559			RHOD			protein_coding
chr13-76	chr13	33120048	33120089	+	1	NA	intron (ENST00000567873.2, intron 7 of 13)	protein_coding-intron (ENST00000255486.8, intron 7 of 13)	-6875	ENST00000491333.1	ENSG00000133121	ENST00000255486			STARD13			protein_coding
chr19-147	chr19	56121290	56121533	+	1	NA	promoter-TSS (ENST00000587279.1)	protein_coding-promoter-TSS (ENST00000587279.1)	-116	ENST00000610935.2	ENSG00000142409	ENST00000610935			ZNF787			protein_coding
chr6-194	chr6	42045713	42045999	+	1	NA	intron (ENST00000616010.4, intron 1 of 4)	protein_coding-intron (ENST00000372988.8, intron 1 of 4)	2678	ENST00000612455.1	ENSG00000112576	ENST00000510058			CCND3			protein_coding
chr15-87-2	chr15	82046470	82046622	+	1	NA	promoter-TSS (ENST00000329713.5)	protein_coding-promoter-TSS (ENST00000329713.5)	-427	ENST00000558133.1	ENSG00000183496	ENST00000558133			MEX3B			protein_coding
chr10-307	chr10	113922107	113922328	+	1	NA	Intergenic	Intergenic	-52603	ENST00000658044.1	ENSG00000287857	ENST00000658044			ENSG00000287857			lncRNA
chr7-113	chr7	5423951	5424238	+	1	NA	promoter-TSS (ENST00000399537.8)	protein_coding-promoter-TSS (ENST00000399537.8)	-219	ENST00000702933.1	ENSG00000290091	ENST00000702933			ENSG00000290091			lncRNA
chr16-41	chr16	88928359	88928466	+	1	NA	intron (ENST00000563640.1, intron 1 of 2)	protein_coding-intron (ENST00000268679.9, intron 1 of 11)	9344	ENST00000561980.1	ENSG00000261226	ENST00000564646			ENSG00000261226			lncRNA
chr20-1075	chr20	58209865	58210090	+	1	NA	Intergenic	Intergenic	18676	ENST00000457363.2	ENSG00000124227	ENST00000457363			ANKRD60			protein_coding
chr2-21	chr2	69976218	69976246	+	1	NA	promoter-TSS (ENST00000627630.2)	lncRNA-promoter-TSS (ENST00000627630.2)	-227	ENST00000627630.2	ENSG00000179818	ENST00000631107			PCBP1-AS1			lncRNA
chr19-369	chr19	49817933	49818009	+	1	NA	promoter-TSS (ENST00000312865.10)	protein_coding-promoter-TSS (ENST00000312865.10)	-311	ENST00000593595.1	ENSG00000104973	ENST00000593767			MED25			protein_coding
chr1-577	chr1	6157926	6158108	+	1	NA	intron (ENST00000496404.1, intron 3 of 33)	protein_coding-intron (ENST00000262450.8, intron 3 of 41)	-13913	ENST00000462991.5	ENSG00000116254	ENST00000377999			CHD5			protein_coding
chr21-78	chr21	41956252	41956508	+	1	NA	Intergenic	Intergenic	-2362	ENST00000380486.4	ENSG00000157617	ENST00000449165			C2CD2			protein_coding
chr6-142	chr6	106135166	106135395	+	1	NA	intron (ENST00000636335.1, intron 6 of 8)	protein_coding-intron (ENST00000636335.1, intron 6 of 8)	35140	ENST00000602426.1	ENSG00000269919	ENST00000602426			ENSG00000269919			lncRNA
chr12-494	chr12	124409798	124410085	+	1	NA	intron (ENST00000458234.5, intron 15 of 32)	protein_coding-intron (ENST00000404621.5, intron 14 of 46)	20700	ENST00000494460.1	ENSG00000196498	ENST00000448008			NCOR2			protein_coding
chr16-325	chr16	2714596	2714798	+	1	NA	TTS (ENST00000566492.1)	protein_coding-TTS (ENST00000566492.1)	868	ENST00000543965.5	ENSG00000172382	ENST00000565903			PRSS27			protein_coding
chr8-297	chr8	102806322	102806536	+	1	NA	promoter-TSS (ENST00000517910.1)	lncRNA-promoter-TSS (ENST00000517910.1)	-393	ENST00000517910.1	ENSG00000253669	ENST00000663613			GASAL1			lncRNA
chr3-337	chr3	126753355	126753626	+	1	NA	intron (ENST00000514908.5, intron 4 of 6)	protein_coding-intron (ENST00000290913.8, intron 4 of 7)	13985	ENST00000513160.1	ENSG00000249558	ENST00000513160			RCC2P4			processed_pseudogene
chr2-139	chr2	64906898	64907144	+	1	NA	exon (ENST00000485246.3, exon 1 of 1)	misc_RNA-exon (ENST00000485246.3, exon 1 of 1)	117	ENST00000485246.3	ENSG00000244534	ENST00000485246			RN7SL211P			misc_RNA
chr16-384	chr16	67441190	67441454	+	1	NA	promoter-TSS (ENST00000567694.5)	protein_coding-promoter-TSS (ENST00000567694.5)	70	ENST00000567694.5	ENSG00000159720	ENST00000568298			ATP6V0D1			protein_coding
chr15-118	chr15	77527304	77527538	+	1	NA	intron (ENST00000561283.2, intron 1 of 1)	lncRNA-intron (ENST00000561283.2, intron 1 of 1)	1881	ENST00000561283.2	ENSG00000259362	ENST00000561283			ENSG00000259362			lncRNA
chr1-867	chr1	201275367	201275529	+	1	NA	Intergenic	Intergenic	-8004	ENST00000263946.7	ENSG00000081277	ENST00000263946			PKP1			protein_coding
chr1-408	chr1	22296869	22297071	+	1	NA	Intergenic	Intergenic	26361	ENST00000487348.1	ENSG00000234397	ENST00000487348			PPIAP34			processed_pseudogene
chr1-60	chr1	8197817	8198080	+	1	NA	Intergenic	Intergenic	-3570	ENST00000670361.1	ENSG00000227634	ENST00000635451			LINC01714			lncRNA
chr3-12	chr3	157174889	157175167	+	1	NA	promoter-TSS (ENST00000410743.1)	rRNA_pseudogene-promoter-TSS (ENST00000410743.1)	-171	ENST00000668714.2	ENSG00000243176	ENST00000668714			ENSG00000243176			lncRNA
chr16-412	chr16	78053113	78053266	+	1	NA	intron (ENST00000567430.2, intron 2 of 2)	lncRNA-intron (ENST00000563114.1, intron 1 of 1)	-3292	ENST00000562317.1	ENSG00000260731	ENST00000562317			KRT8P22			processed_pseudogene
chr17-1377	chr17	64776862	64776892	+	1	NA	intron (ENST00000578492.5, intron 2 of 11)	lncRNA-intron (ENST00000578492.5, intron 2 of 11)	2060	ENST00000583567.1	ENSG00000265982	ENST00000583567			ENSG00000265982			unprocessed_pseudogene
chr15-249	chr15	78873399	78873696	+	1	NA	promoter-TSS (ENST00000559158.5)	protein_coding-promoter-TSS (ENST00000559158.5)	-176	ENST00000559690.5	ENSG00000185787	ENST00000557961			MORF4L1			protein_coding
chr9-76	chr9	128771853	128772136	+	1	NA	promoter-TSS (ENST00000291900.7)	protein_coding-promoter-TSS (ENST00000291900.7)	-53	ENST00000414921.5	ENSG00000160445	ENST00000414921			ZER1			protein_coding
chr15-29	chr15	64163187	64163464	+	1	NA	promoter-TSS (ENST00000300026.4)	protein_coding-promoter-TSS (ENST00000300026.4)	-191	ENST00000680158.1	ENSG00000166794	ENST00000300026			PPIB			protein_coding
chr17-48	chr17	59093920	59094085	+	1	NA	intron (ENST00000393065.6, intron 1 of 22)	protein_coding-intron (ENST00000262294.12, intron 2 of 23)	12457	ENST00000580122.5	ENSG00000108395	ENST00000625984			TRIM37			protein_coding
chr1-350	chr1	162285271	162285556	+	1	NA	intron (ENST00000530878.5, intron 2 of 9)	protein_coding-intron (ENST00000361897.10, intron 2 of 9)	32381	ENST00000447899.1	ENSG00000227094	ENST00000447899			ENSG00000227094			lncRNA
chr1-921	chr1	235060698	235060874	+	1	NA	Intergenic	Intergenic	9010	ENST00000701981.1	ENSG00000280587	ENST00000690081			LINC01348			lncRNA
chr12-237-2	chr12	56079816	56080004	+	1	NA	promoter-TSS (ENST00000267101.8)	protein_coding-promoter-TSS (ENST00000267101.8)	36	ENST00000683059.1	ENSG00000065361	ENST00000549644			ERBB3			protein_coding
chr11-126	chr11	45804164	45804373	+	1	NA	promoter-TSS (ENST00000314134.4)	protein_coding-promoter-TSS (ENST00000314134.4)	182	ENST00000526817.2	ENSG00000181830	ENST00000530471			SLC35C1			protein_coding
chr9-362	chr9	88370423	88370638	+	1	NA	Intergenic	Intergenic	-17900	ENST00000485804.5	ENSG00000106723	ENST00000485565			SPIN1			protein_coding
chr12-68	chr12	52945528	52945792	+	1	NA	TTS (ENST00000619952.2)	protein_coding-TTS (ENST00000619952.2)	-3211	ENST00000388837.6	ENSG00000111057	ENST00000549078			KRT18			protein_coding
chr11-82	chr11	68459935	68460219	+	1	NA	promoter-TSS (ENST00000265636.9)	protein_coding-promoter-TSS (ENST00000265636.9)	-654	ENST00000530427.5	ENSG00000110075	ENST00000526593			PPP6R3			protein_coding
chr15-7	chr15	63048263	63048552	+	1	NA	promoter-TSS (ENST00000317516.12)	protein_coding-promoter-TSS (ENST00000317516.12)	-20	ENST00000651622.2	ENSG00000140416	ENST00000558544			TPM1			protein_coding
chr20-2072	chr20	45791923	45792003	+	1	NA	promoter-TSS (ENST00000243938.9)	protein_coding-promoter-TSS (ENST00000243938.9)	9	ENST00000372622.8	ENSG00000101457	ENST00000372622			DNTTIP1			protein_coding
chr14-56	chr14	96083728	96083934	+	1	NA	intron (ENST00000553764.1, intron 2 of 2)	protein_coding-intron (ENST00000553764.1, intron 2 of 2)	44447	ENST00000553782.1	ENSG00000227051	ENST00000556728			C14orf132			protein_coding
chr12-21	chr12	132453628	132453908	+	1	NA	Intergenic	Intergenic	-3392	ENST00000542627.1	ENSG00000256783	ENST00000542627			ENSG00000256783			lncRNA
chr3-179	chr3	197372584	197372722	+	1	NA	intron (ENST00000700789.1, intron 1 of 2)	lncRNA-intron (ENST00000700789.1, intron 1 of 2)	2969	ENST00000700789.1	ENSG00000289828	ENST00000700789			ENSG00000289828			lncRNA
chrX-76	chrX	151082411	151082645	+	1	NA	Intergenic	Intergenic	-56122	ENST00000391293.1	ENSG00000212595	ENST00000391293			RNA5SP525			rRNA
chr2-419	chr2	39124289	39124475	+	1	NA	promoter-TSS (ENST00000451331.1)	protein_coding-promoter-TSS (ENST00000451331.1)	-37	ENST00000451331.1	ENSG00000115904	ENST00000690679			SOS1			protein_coding
chr11-111	chr11	75792032	75792315	+	1	NA	promoter-TSS (ENST00000603363.5)	protein_coding-promoter-TSS (ENST00000603363.5)	14	ENST00000603363.5	ENSG00000062282	ENST00000376262			DGAT2			protein_coding
chr22-48	chr22	19751174	19751399	+	1	NA	Intergenic	Intergenic	-5417	ENST00000329705.11	ENSG00000184058	ENST00000329705			TBX1			protein_coding
